                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8159,                 4.0483,                 1.2263,                0.02853,                0.65643,                0.20922,                0.14001,                 1.0821,                 3.9699,                0.91163,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.4418,                 2.4856,                0.99346,                0.72109,                0.24671,                0.39067,                0.26125,                 1.1318,                 2.6458,                0.95419,             0.00038301,             0.00038301,             0.00038301
                      3,                  1.353,                 1.8164,                0.99873,                 0.3535,                0.44874,                0.44758,                0.29877,                 1.1128,                 1.6835,                0.96848,              0.0005713,              0.0005713,              0.0005713
                      4,                 1.2743,                  1.498,                0.97389,                0.63017,                0.56561,                0.62277,                0.44009,                 1.0483,                 1.2987,                 0.9251,             0.00057054,             0.00057054,             0.00057054
                      5,                  1.256,                 1.4243,                0.96777,                0.64566,                0.68114,                0.73483,                0.49184,                 1.1219,                 1.1262,                0.93465,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.2184,                 1.2336,                0.95773,                0.72439,                0.77233,                0.82935,                0.61105,                0.95457,                  1.145,                0.90319,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.2275,                 1.1346,                 0.9656,                0.80488,                0.82965,                0.88408,                0.60545,                 1.1423,                  1.051,                0.93994,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.1652,                 1.0528,                0.94066,                0.89278,                0.88755,                 0.9451,                0.65366,                 1.1322,                 0.9382,                0.93052,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.1208,                0.98721,                0.93689,                0.91588,                0.89548,                0.97027,                0.74672,                0.87132,                0.87354,                0.88786,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.1035,                0.93901,                0.93752,                0.95075,                0.93096,                0.97568,                0.74816,                0.89396,                0.77108,                0.89147,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.1584,                0.91056,                0.94362,                0.95465,                0.94269,                0.97539,                0.72401,                0.94099,                0.79209,                0.90787,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0905,                0.86386,                0.93237,                0.89881,                0.94373,                0.95847,                0.69503,                 1.0168,                 0.7487,                0.91404,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.1187,                0.84005,                0.93861,                0.92982,                0.92752,                0.96631,                0.72764,                0.94391,                0.69901,                0.90088,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.1188,                0.85182,                0.94728,                0.92732,                0.96393,                 0.9649,                 0.7434,                0.87002,                0.70887,                0.89662,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0705,                0.83175,                0.92844,                0.95871,                0.95008,                0.97825,                0.74677,                0.92154,                0.65136,                0.90102,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0303,                0.77818,                0.92318,                0.94951,                0.91838,                0.97256,                0.74358,                0.87598,                0.68001,                0.89017,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0504,                0.76813,                0.92956,                0.95008,                0.96555,                0.98154,                 0.7492,                0.90967,                0.66694,                0.89539,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.0489,                0.75889,                 0.9247,                0.95194,                0.96756,                0.98342,                0.77026,                0.86215,                0.61941,                 0.8889,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.0693,                0.76805,                0.93545,                0.95935,                0.95955,                0.98326,                0.73134,                0.93471,                0.61531,                0.91466,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.0434,                0.72834,                0.92546,                 0.9644,                0.95087,                0.98026,                0.74232,                0.94249,                0.61921,                 0.9245,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.0677,                0.73965,                0.93904,                0.96572,                0.97074,                0.98219,                0.75648,                0.88276,                 0.6027,                0.89799,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.0262,                0.70855,                0.92123,                 0.9714,                0.97416,                0.98307,                0.75866,                0.86799,                0.57778,                0.88639,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.0004,                0.69985,                0.91828,                0.96959,                 0.9722,                0.98346,                0.75564,                0.88102,                0.56734,                0.88863,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.0233,                0.68862,                0.91547,                0.97082,                 0.9713,                0.98565,                0.77036,                 0.8342,                0.54923,                0.88353,             0.00045993,             0.00045993,             0.00045993
                     25,                0.98978,                0.66922,                0.91069,                0.94728,                0.97773,                0.98435,                0.77188,                 0.8245,                0.55617,                0.88488,             0.00045411,             0.00045411,             0.00045411
                     26,                0.98931,                0.67325,                 0.9203,                0.95718,                 0.9724,                0.98732,                0.77672,                0.81631,                0.55595,                0.88037,             0.00044829,             0.00044829,             0.00044829
                     27,                0.98709,                0.66836,                 0.9151,                0.97689,                0.98142,                0.98605,                0.77109,                0.82677,                0.54195,                0.87764,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.0057,                0.65767,                0.91794,                0.97805,                0.96079,                0.98332,                0.77628,                0.83486,                0.53412,                0.88443,             0.00043665,             0.00043665,             0.00043665
                     29,                0.96233,                0.64259,                0.91171,                 0.9818,                0.97234,                0.98352,                0.76645,                0.84768,                0.54742,                 0.8884,             0.00043083,             0.00043083,             0.00043083
                     30,                0.96362,                0.64309,                0.91842,                0.96949,                0.98006,                0.98363,                0.76141,                0.85825,                0.55144,                0.88707,             0.00042501,             0.00042501,             0.00042501
                     31,                0.94879,                0.63654,                0.90999,                0.96375,                0.97498,                 0.9831,                0.76135,                0.84571,                0.54521,                0.88291,             0.00041919,             0.00041919,             0.00041919
                     32,                0.95187,                0.63155,                0.90028,                0.96162,                0.96409,                0.98272,                0.76058,                0.86309,                0.54794,                0.88343,             0.00041336,             0.00041336,             0.00041336
                     33,                0.95533,                0.62255,                0.90799,                0.97065,                0.98408,                0.98574,                0.77572,                 0.8544,                0.52825,                0.88836,             0.00040754,             0.00040754,             0.00040754
                     34,                0.94291,                0.61597,                0.90745,                0.96674,                0.97211,                0.98563,                0.76267,                0.86032,                0.53165,                0.88579,             0.00040172,             0.00040172,             0.00040172
                     35,                0.94358,                0.61583,                0.90558,                0.97609,                0.96847,                0.98604,                0.77565,                0.82972,                 0.5259,                0.88373,              0.0003959,              0.0003959,              0.0003959
                     36,                0.92486,                  0.611,                0.90071,                0.96946,                0.98358,                0.98641,                0.77041,                0.84896,                0.51544,                0.89072,             0.00039008,             0.00039008,             0.00039008
                     37,                0.92904,                0.59867,                 0.9051,                0.97491,                0.97663,                0.98446,                0.77138,                0.83275,                0.51703,                 0.8856,             0.00038426,             0.00038426,             0.00038426
                     38,                0.92746,                0.59812,                0.90604,                0.97231,                 0.9862,                0.98676,                0.76502,                 0.8577,                0.53319,                0.88701,             0.00037844,             0.00037844,             0.00037844
                     39,                0.92866,                0.59958,                0.90833,                0.96175,                0.97804,                 0.9867,                0.76657,                0.87976,                0.52813,                  0.892,             0.00037262,             0.00037262,             0.00037262
                     40,                0.95201,                0.59521,                0.91346,                0.97652,                0.98615,                0.98794,                0.76598,                0.88661,                0.50035,                0.89188,             0.00036679,             0.00036679,             0.00036679
                     41,                0.93619,                0.58589,                0.90193,                0.97912,                0.98027,                0.98626,                0.77731,                0.82976,                0.48162,                 0.8835,             0.00036097,             0.00036097,             0.00036097
                     42,                0.88023,                0.55912,                0.89576,                0.97962,                0.98075,                0.98642,                0.77772,                0.84747,                0.48386,                0.88219,             0.00035515,             0.00035515,             0.00035515
                     43,                0.91982,                0.57832,                0.89775,                0.98127,                0.97943,                0.98507,                0.78453,                0.81193,                 0.4915,                0.88328,             0.00034933,             0.00034933,             0.00034933
